timeStamp,wattsupPower,currentCPUFrequency,userTime1Sec,percentCPU,interrupts,interruptsSoftware,numberOfProcesses,percentVirtualMemory,systemCalls,sharedMemoryUsedBytes,instructions,missRatio
Mon May 18 15:47:15 2020,105.5,1199.9318124999998,4.558824347019848,17.2,11953.015056136128,12374.284859089825,383,2.4,12374.284859089825,304214016,8754654372,0.17736680731126125
Mon May 18 15:47:21 2020,105.6,1199.9638437499998,4.543106545687504,17.2,11764.68018604895,12187.320145947297,384,2.4,12187.320145947297,304214016,8606610146,0.16741888585133705
Mon May 18 15:47:29 2020,105.7,1199.9319374999998,4.570836019587375,17.2,11679.329821365769,12303.555934483727,384,2.4,12303.555934483727,304214016,8706231347,0.17811546654717336
Mon May 18 15:47:35 2020,105.5,1199.9260312500005,4.408144634100724,17.0,12502.132885563218,11912.641354613284,384,2.4,11912.641354613284,304214016,8695366507,0.17896142304003784
Mon May 18 15:47:42 2020,105.5,1200.1168125000004,4.388272418538784,16.9,13023.062493505642,12062.936489272686,384,2.4,12062.936489272686,304214016,8658635642,0.1797262413330489
Mon May 18 15:47:50 2020,105.5,1199.9475625000002,4.446575294333981,16.9,11285.157080651194,12194.912042078946,384,2.4,12194.912042078946,304214016,8452755357,0.18214782084312836
Mon May 18 15:47:56 2020,105.7,1200.1255625,4.505487374388387,17.0,11142.642989884103,12349.913265557218,384,2.4,12349.913265557218,304214016,8792255252,0.18473744354229246
Mon May 18 15:48:04 2020,105.8,1199.95878125,4.440611264942658,17.0,12639.504718441023,12268.287558555516,384,2.4,12268.287558555516,304214016,8676332443,0.16497446959388992
Mon May 18 15:48:10 2020,105.6,1199.9341875,4.450306684171943,17.0,12881.974692603815,11937.996596721992,384,2.4,11937.996596721992,304214016,8674729843,0.17836385920880926
Mon May 18 15:48:18 2020,105.6,1199.9325312499998,4.490546190250472,17.1,11881.752177063401,12460.9519671102,384,2.4,12460.9519671102,304214016,8711624499,0.1682023937537598
Mon May 18 15:48:24 2020,105.6,1199.9390312500002,4.495608330656683,17.2,11701.532875123721,12080.630315897704,383,2.4,12080.630315897704,304214016,8597664894,0.17421953950235114
Mon May 18 15:48:32 2020,105.6,1199.9145,4.471621086485193,17.0,12223.387977906748,12182.475874868538,383,2.4,12182.475874868538,304214016,8730468164,0.18308562270107934
Mon May 18 15:48:38 2020,105.5,1200.0356875,4.459219392546996,17.1,11631.021608034616,12047.084649104549,383,2.4,12047.084649104549,304214016,8509932698,0.17320427462074064
Mon May 18 15:48:46 2020,105.5,1199.9345312500004,4.5309470107927,17.1,12163.932447828947,12200.351407253584,383,2.4,12200.351407253584,304214016,8581912970,0.18308927086241766
Mon May 18 15:48:52 2020,105.5,1200.05565625,4.488507751227778,17.0,11435.373832966023,12026.521722708601,384,2.4,12026.521722708601,304214016,8686404973,0.18380314103011852
Mon May 18 15:49:00 2020,105.7,1199.93146875,4.525367297591157,17.1,12946.251247889346,11383.481493152036,384,2.4,11383.481493152036,304214016,8415327175,0.1653726802258775
Mon May 18 15:49:06 2020,105.5,1200.0134999999998,4.458932575236154,16.9,11559.564126226262,11124.381049886277,384,2.4,11124.381049886277,304214016,8499774412,0.16799565276010536
Mon May 18 15:49:14 2020,105.5,1199.96634375,4.488979312690057,17.1,11473.996781547683,11144.480851253089,384,2.4,11144.480851253089,304214016,8678402949,0.18144702897912407
Mon May 18 15:49:22 2020,105.4,1199.9678749999996,4.4136773380824765,16.9,11637.64121882829,10578.64584286878,384,2.4,10578.64584286878,304214016,8769939471,0.16836895573280952
Mon May 18 15:49:28 2020,105.5,1199.9864999999998,4.466845809244922,17.1,12396.21120073122,10975.081899497069,384,2.4,10975.081899497069,304214016,8690914141,0.16878907308519736
Mon May 18 15:49:36 2020,105.4,1200.03665625,4.416462715720943,16.9,11279.257040829605,10800.17701844854,383,2.4,10800.17701844854,304214016,8544294301,0.1574920644419452
Mon May 18 15:49:42 2020,105.6,1199.9451250000004,4.4823381206920585,17.0,11385.839534047049,10877.388673457835,383,2.4,10877.388673457835,304214016,8709695394,0.18564707546003564
Mon May 18 15:49:50 2020,105.6,1199.9769999999999,4.4776967202892,16.9,12337.663271454478,10587.388965344677,383,2.4,10587.388965344677,304214016,8484581002,0.17934494251811414
Mon May 18 15:49:56 2020,105.7,1199.9501250000005,4.529254187957033,17.0,13020.128145713703,10944.201733725824,383,2.4,10944.201733725824,304214016,8638055177,0.1667296258521869
Mon May 18 15:50:04 2020,105.4,1199.9472812499996,4.514171498660223,17.0,12813.92398264532,10975.382586363396,384,2.4,10975.382586363396,304214016,8673705275,0.16289396437375864
Mon May 18 15:50:10 2020,105.3,1199.9418437500005,4.513192535485361,17.1,13409.094148748947,10956.88234449168,384,2.4,10956.88234449168,304214016,8713866746,0.1751754712120508
Mon May 18 15:50:18 2020,105.3,1199.95990625,4.454077013588668,17.0,12958.602725199407,10602.460536859728,384,2.4,10602.460536859728,304214016,8592273610,0.18022978962921796
Mon May 18 15:50:24 2020,105.5,1199.9758124999996,4.406687468902335,16.9,12030.887248585652,11051.50258911911,384,2.4,11051.50258911911,304214016,8712742304,0.1578794370637975
Mon May 18 15:50:32 2020,105.4,1199.9507499999995,4.453155873219828,16.9,12745.4065373694,10710.21726117256,384,2.4,10710.21726117256,304214016,8635001489,0.17954507752404708
Mon May 18 15:50:38 2020,105.5,1199.95990625,4.4640106350011735,17.1,11876.06001133592,11255.730780172713,384,2.4,11255.730780172713,304214016,8672825265,0.17380975754857084
Mon May 18 15:50:46 2020,105.5,1200.1935,4.435100032436363,16.8,11226.178416146135,10760.735611767845,385,2.4,10760.735611767845,304214016,8515305953,0.18253584179816665
Mon May 18 15:50:52 2020,105.5,1199.9330000000002,4.293872737363305,16.7,11704.89209273195,10351.962358720899,385,2.4,10351.962358720899,304214016,8711052848,0.1693028346610334
Mon May 18 15:51:00 2020,105.5,1199.91340625,4.424487606197522,16.9,12506.503691148113,10761.8784278093,385,2.4,10761.8784278093,304214016,8693734957,0.1808735583891744
Mon May 18 15:51:06 2020,105.6,1200.02065625,4.562647201145353,17.2,11678.146887507244,11014.409613784048,385,2.4,11014.409613784048,304214016,8719488828,0.1825581136207006
Mon May 18 15:51:14 2020,105.6,1199.9515937500005,4.4090996618490506,16.9,13247.81479621861,10771.340492271478,385,2.4,10771.340492271478,304214016,8714329655,0.18268843254564454
Mon May 18 15:51:20 2020,105.5,1200.0639999999999,4.43521411586892,16.9,11592.453587950713,10753.648083657918,385,2.4,10753.648083657918,304214016,8455872946,0.18270560954525075
Mon May 18 15:51:27 2020,105.6,1199.97415625,4.619912193271298,17.2,12556.19107589512,10930.804078991096,385,2.4,10930.804078991096,304214016,8542040175,0.18294536998430494
Mon May 18 15:51:35 2020,105.5,1199.9365625,4.449002084702914,16.8,12296.155179190751,11022.764626697624,385,2.4,11022.764626697624,304214016,8903679177,0.17206500941454148
Mon May 18 15:51:41 2020,105.5,1200.0358749999998,4.414585738899333,17.1,12749.655636100082,10703.78675781552,384,2.4,10703.78675781552,304214016,8657645808,0.16953558780834954
Mon May 18 15:51:49 2020,105.4,1199.913625,4.525109774799022,17.0,11336.14608068323,10894.242233782596,384,2.4,10894.242233782596,304214016,8579945478,0.17862314288761533
Mon May 18 15:51:55 2020,105.6,1199.9778437499995,4.4822821757510205,17.2,12575.571452657949,10764.48420909726,384,2.4,10764.48420909726,304214016,8733682293,0.18457700127819895
Mon May 18 15:52:03 2020,105.6,1199.9789374999998,4.576905183847619,17.3,12300.455091022686,11007.698989154724,384,2.4,11007.698989154724,304214016,8648316282,0.18390026602522336
Mon May 18 15:52:09 2020,105.5,1199.972,4.436334688540166,16.9,11307.767624658723,10965.75944382304,384,2.4,10965.75944382304,304214016,8602829574,0.17976272696035034
Mon May 18 15:52:17 2020,105.5,1199.9783125,4.3852862144945695,16.7,11051.640159947925,10324.653162501274,384,2.4,10324.653162501274,304214016,8579119951,0.16745253751547234
Mon May 18 15:52:23 2020,105.3,1200.01834375,4.5460870773500845,17.2,12871.25922679819,11505.685448785742,384,2.4,11505.685448785742,304214016,8622494562,0.18179147500947496
Mon May 18 15:52:31 2020,105.4,1200.1048125,4.560280157683209,17.1,11846.474525663403,11061.062960828904,384,2.4,11061.062960828904,304214016,8538284776,0.183338730652514
Mon May 18 15:52:37 2020,105.5,1199.92078125,4.5750803760217575,17.1,11824.031326926617,11098.238298394232,384,2.4,11098.238298394232,304214016,8647914142,0.17346438713120318
Mon May 18 15:52:45 2020,105.5,1199.9280312499998,4.5102301684917165,16.9,12723.14453247348,10996.728651308735,383,2.4,10996.728651308735,304214016,8750467038,0.17304648293145594
Mon May 18 15:52:53 2020,105.4,1200.0125625,4.515914110026798,17.0,12378.91750164411,10825.270739461192,383,2.4,10825.270739461192,304214016,8713476152,0.17649922741044108
Mon May 18 15:52:59 2020,105.6,1199.90803125,4.491650698058431,17.2,12028.46975088968,10884.861757459621,384,2.4,10884.861757459621,304214016,8605165653,0.18048616439288626
Mon May 18 15:53:07 2020,105.7,1199.95415625,4.50972951300983,17.0,11396.697451796776,10818.3340482249,384,2.4,10818.3340482249,304214016,8295864452,0.1788035713394703
Mon May 18 15:53:13 2020,105.6,1199.9350937499996,4.485614555429829,16.9,11456.67928118245,10358.446945585036,384,2.4,10358.446945585036,304214016,8632565805,0.1767278105242444
Mon May 18 15:53:21 2020,105.6,1199.92475,4.5478265074375965,17.0,11288.496317788457,10935.99482446558,384,2.4,10935.99482446558,304214016,8719316410,0.15361785025398392
Mon May 18 15:53:27 2020,105.6,1199.93065625,4.514743788267607,17.1,11570.562120599656,11155.179443566578,384,2.4,11155.179443566578,304214016,8702963869,0.17690219276808292
Mon May 18 15:53:35 2020,105.4,1200.1783749999995,4.460307282671415,16.9,12105.145405481751,10832.58295537675,384,2.4,10832.58295537675,304214016,8703079798,0.17544112501571504
Mon May 18 15:53:41 2020,105.5,1200.01021875,4.502704350887275,17.0,11642.42634433444,11112.272739475447,384,2.4,11112.272739475447,304214016,8443303686,0.175001748952657
Mon May 18 15:53:49 2020,105.5,1199.9881250000005,4.572582800700809,17.0,12012.851307643872,10878.764667155796,384,2.4,10878.764667155796,304214016,8734248021,0.18283689922141025
Mon May 18 15:53:55 2020,105.6,1199.9318124999998,4.466628263239944,17.1,11337.276752852586,10654.017453773986,384,2.4,10654.017453773986,304214016,8631032610,0.1837737005630088
Mon May 18 15:54:03 2020,105.7,1199.97809375,4.457112532732472,16.9,11327.83430774166,10664.307781261623,384,2.4,10664.307781261623,304214016,8407167157,0.1812418244868424
Mon May 18 15:54:09 2020,105.7,1199.9411249999996,4.50869356911947,16.9,11678.949743703792,11152.066766888816,384,2.4,11152.066766888816,304214016,8724907925,0.17851254470521724
Mon May 18 15:54:17 2020,105.6,1199.9756249999996,4.4385607059348295,16.8,10672.851660246328,10573.118818473109,384,2.4,10573.118818473109,304214016,8626450292,0.18351300049201005
Mon May 18 15:54:25 2020,105.6,1199.9551875000002,4.487220267987591,16.9,10888.70192634168,10693.91617994057,384,2.4,10693.91617994057,304214016,8635187433,0.17437419959143358
Mon May 18 15:54:31 2020,105.7,1199.9997499999995,4.499215093233651,17.1,11686.82581357532,10713.63314565865,384,2.4,10713.63314565865,304214016,8377454787,0.18108845835428
Mon May 18 15:54:39 2020,105.7,1199.94659375,4.466147037115547,16.9,11669.540373573504,10822.717165725173,384,2.4,10822.717165725173,304214016,8606597325,0.18365776991726795
Mon May 18 15:54:45 2020,105.7,1200.02909375,4.4691582477413165,17.0,11333.594215198003,11155.08847760665,384,2.4,11155.08847760665,304214016,8670740038,0.15909451105564673
Mon May 18 15:54:53 2020,105.7,1199.9525,4.50033698692779,17.0,11217.466762463313,10602.528371143579,384,2.4,10602.528371143579,304214016,8576391294,0.17179454922252116
Mon May 18 15:54:59 2020,105.7,1200.2291249999996,4.510080740253174,17.0,11190.02357035901,10626.754890980535,384,2.4,10626.754890980535,304214016,8460648724,0.17907970562233236
Mon May 18 15:55:07 2020,105.7,1199.94275,4.426538369925172,16.8,11275.12799774766,10722.617155864868,384,2.4,10722.617155864868,304214016,8476409032,0.1774630656589598
Mon May 18 15:55:13 2020,105.6,1199.9534375000005,4.4742092076082365,17.0,10700.853539763384,10759.136578413149,384,2.4,10759.136578413149,304214016,8636830453,0.1806952090560728
Mon May 18 15:55:21 2020,105.6,1200.04015625,4.493990319059511,17.0,11373.59728682059,11090.257115066235,384,2.4,11090.257115066235,304214016,8596988907,0.17375467352733734
Mon May 18 15:55:27 2020,105.6,1199.93646875,4.455147106310281,17.1,12266.096571221631,10800.23063482564,384,2.4,10800.23063482564,304214016,8584009056,0.1804785107142802
Mon May 18 15:55:35 2020,105.6,1199.92925,4.459899730631541,16.9,11983.130749868733,10832.355503879615,382,2.4,10832.355503879615,304214016,8639625773,0.18306235652733355
Mon May 18 15:55:42 2020,105.6,1199.9186874999998,4.4697557499253415,17.0,11270.71842601402,10738.165789538358,382,2.4,10738.165789538358,304214016,8792092690,0.1370913364438851
Mon May 18 15:55:49 2020,105.4,1199.93746875,4.472612540465708,17.0,12138.89370541004,10999.313803285351,382,2.4,10999.313803285351,304214016,8622911083,0.17804907874618733
Mon May 18 15:55:57 2020,105.5,1200.10590625,4.465990418773266,17.0,11259.768795121572,10508.044416662418,382,2.4,10508.044416662418,304214016,8526580738,0.16910286171013916
Mon May 18 15:56:03 2020,105.5,1200.0479375,4.552799566953074,17.0,11115.525593471973,11383.530373364569,380,2.4,11383.530373364569,304214016,8751581947,0.1814309732167609
Mon May 18 15:56:11 2020,105.6,1199.9380625,4.480240373526367,17.0,11629.533544706946,10631.783478243802,380,2.4,10631.783478243802,304214016,8747220734,0.16150916315410166
Mon May 18 15:56:17 2020,105.6,1199.9875,4.440018258035277,16.9,11211.428296871894,10643.158375211027,382,2.4,10643.158375211027,304214016,8551220451,0.1801099217882984
Mon May 18 15:56:25 2020,105.6,1199.9449375,4.4619256743129805,17.0,11966.884658507412,10643.655980533154,382,2.4,10643.655980533154,304214016,8493662467,0.1807019629905051
Mon May 18 15:56:31 2020,105.6,1199.9340000000002,4.450917090304722,16.8,11740.963193345826,10820.129091920959,382,2.4,10820.129091920959,304214016,8788366419,0.17707814198980434
Mon May 18 15:56:39 2020,105.7,1200.2016249999995,4.378847451359781,16.8,15948.176025711296,10705.06816975326,382,2.4,10705.06816975326,304214016,8914752344,0.16245106989521438
Mon May 18 15:56:45 2020,105.3,1200.11403125,4.433564762391129,16.9,11214.502915117806,10796.829337357278,382,2.4,10796.829337357278,304214016,8721929552,0.17815674685253374
Mon May 18 15:56:53 2020,105.4,1199.92171875,4.375194872161981,16.6,12164.155300020548,10579.673807310384,382,2.4,10579.673807310384,304214016,8603001236,0.17788893581534182
Mon May 18 15:56:59 2020,105.3,1200.0139062500004,4.437713814428472,16.8,11569.84783947579,11063.36963239987,382,2.4,11063.36963239987,304214016,8473956584,0.18167268360618632
Mon May 18 15:57:07 2020,105.3,1199.9098750000005,4.41986804407383,16.9,11898.759487971414,10968.753079342569,382,2.4,10968.753079342569,304214016,8678763131,0.16946802114232665
