timeStamp,Power,currentCPUFrequency,userTime1Sec,percentCPU,interrupts,interruptsSoftware,numberOfProcesses,percentVirtualMemory,systemCalls,sharedMemoryUsedBytes,instructions,missRatio
Mon May 18 17:57:11 2020,100.7,1274.568844,1.264713037,5.9,6784.30767,4955.668763,443,6.1,4955.668763,304443392,2941909672,0.04075601
Mon May 18 17:57:17 2020,96.2,1286.30325,0.41481873,3.4,3568.538479,5615.635988,443,5.8,5615.635988,304443392,2887378562,0.093918008
Mon May 18 17:57:24 2020,104,1241.505469,1.522178069,6.2,6825.629385,5070.22489,443,6.1,5070.22489,304443392,3777494146,0.04424715
Mon May 18 17:57:31 2020,96.9,1232.420938,0.977115383,4.6,4815.70598,4818.759466,444,6,4818.759466,304443392,4302735519,0.03788534
Mon May 18 17:57:38 2020,98,1203.212563,0.622019127,4,4533.292917,7922.421074,444,6.1,7922.421074,304443392,6946275008,0.033648262
Mon May 18 17:57:45 2020,98.3,1200.870344,1.895471406,6.9,5433.744642,4834.890773,444,5.8,4834.890773,304443392,3182506159,0.021024685
Mon May 18 17:57:52 2020,105,1279.051063,1.37745948,6.7,7106.905045,5384.53495,442,6.1,5384.53495,304443392,2800856388,0.092105118
Mon May 18 17:57:59 2020,83.7,1306.263719,0.885913527,4.6,4554.922604,7349.854246,442,6,7349.854246,304443392,2674976471,0.058160479
Mon May 18 17:58:06 2020,101.5,1200.756875,1.339933438,5.2,5295.916953,7266.1235,442,6.1,7266.1235,304443392,1952483192,0.049991046
Mon May 18 17:58:13 2020,108.4,1288.153281,1.56857002,6.4,8679.719897,5855.217039,444,6.1,5855.217039,304443392,2799475024,0.048132449
Mon May 18 17:58:20 2020,88.8,1251.204813,0.399204486,3.1,3445.661141,5035.898792,444,5.8,5035.898792,304443392,2682847980,0.106739647
Mon May 18 20:11:53 2020,90.6,1317.354438,1.606148385,7.4,4003.532466,3847.511672,391,2.3,3847.511672,304214016,45723801816,0.47481959
Mon May 18 20:12:01 2020,170.9,1364.839719,14.73544816,50,34492.49674,13831.75075,392,3.8,13831.75075,304246784,35590677368,0.596635194
Mon May 18 20:12:07 2020,133.7,1885.794375,14.66889412,49.5,26653.71137,13447.98303,392,3.8,13447.98303,304246784,23023777438,0.561202108
Mon May 18 20:12:15 2020,134.1,1928.943094,17.29996491,56.6,27814.54681,16556.69921,408,3.9,16556.69921,304304128,33884094272,0.357637446
