timestamp,Power,currentCPUFrequency,userTime1Sec,idleTime1Sec,percentCPU,contextSwitches,interrupts,interruptsSoftware,numberOfProcesses
Wed Dec 18 12:21:35 2019,133,1880.966438,16.93606069,14.96096994,53.2,1442.46222,31292.75856,17981.35154,361
Wed Dec 18 12:21:39 2019,132.6,1826.296344,16.4138021,15.52531956,51.4,1535.005725,21700.88176,17614.1055,361
Wed Dec 18 12:21:44 2019,132.6,1723.725219,16.98752042,14.95992269,53.2,1418.34477,20728.47473,17921.7245,361
Wed Dec 18 12:21:48 2019,132.7,1970.868438,17.47621368,14.48154346,54.8,1465.927592,18658.49974,18575.72024,361
Wed Dec 18 12:21:52 2019,132.8,1885.672969,17.16373429,14.77853014,53.8,1474.932356,24971.62702,18306.92856,361
Wed Dec 18 12:21:57 2019,132.9,1948.173688,16.97150783,14.95724237,53.3,1471.451262,22245.0075,18077.29846,361
Wed Dec 18 12:22:02 2019,133.9,1852.652125,16.25428791,15.68279459,50.9,1533.637569,18721.88649,17416.2591,361
Wed Dec 18 12:22:07 2019,134.5,2025.923094,17.49871534,14.44490665,54.8,1483.054787,21439.49886,18687.74317,361
Wed Dec 18 12:22:12 2019,135,1814.912844,17.82078191,14.04595577,56,1682.812794,18992.58348,19068.5499,361
Wed Dec 18 12:22:17 2019,136.8,1967.872531,17.14991879,14.79305288,53.7,1486.939655,19783.77517,18261.99149,361
Wed Dec 18 12:22:22 2019,135.9,1933.421594,16.92802485,14.99492378,53.1,1563.036381,28184.56489,18107.84951,361
Wed Dec 18 12:22:26 2019,135.2,1785.412969,16.69050387,15.26148902,52.2,1363.041586,21501.43936,17595.87119,361
Wed Dec 18 12:22:30 2019,134.8,1801.723031,16.88762753,15.04233105,53,1421.219108,28126.89505,18025.23577,361
Wed Dec 18 12:22:34 2019,134.7,1990.863531,17.21728466,14.71733396,54,1409.90404,26412.5756,18286.88383,361
Wed Dec 18 12:22:39 2019,134.6,2003.02,16.856522,15.0531933,52.9,1577.76576,30143.98043,18178.17984,361
Wed Dec 18 12:22:44 2019,134.4,1843.455656,16.75175666,15.17975005,52.5,1354.314042,23706.95604,17748.40494,361
Wed Dec 18 12:22:49 2019,135.4,1939.9465,16.55749073,15.40236249,51.8,1357.960928,17908.40342,17454.77086,361
Wed Dec 18 12:22:54 2019,135.2,1986.705875,17.34133016,14.59075792,54.4,1412.482469,23363.81085,18385.56876,361
Wed Dec 18 12:22:59 2019,134.5,1986.449656,16.97410373,14.93650663,53.3,1615.984783,33175.64302,18330.93591,361
Wed Dec 18 12:23:04 2019,134.7,1704.186813,18.88615729,12.92992235,59.5,1737.458316,23679.13736,20351.72699,361
Wed Dec 18 12:23:08 2019,134,1810.519031,15.9509976,15.95343175,50,1411.80812,22735.22245,17027.86641,360
Wed Dec 18 12:23:12 2019,134.8,1889.249781,19.12425238,12.69270009,60.3,1760.521808,31746.59976,20575.85519,360
Wed Dec 18 12:23:16 2019,130.8,1703.097281,16.52753737,15.33221835,52,1522.753664,34942.26682,17634.24212,359
Wed Dec 18 12:23:21 2019,131,2033.329219,17.11304514,14.8112104,53.7,1496.975514,21270.832,18249.28244,359
Wed Dec 18 12:23:26 2019,132,1939.75425,17.49198765,14.45756338,54.8,1391.724009,23086.8787,18641.15349,359
Wed Dec 18 12:23:31 2019,132.4,1881.419156,16.91715857,15.02834011,53,1373.063374,19214.07927,17989.38112,359
Wed Dec 18 12:23:36 2019,133,2048.281406,17.11204444,14.84505583,53.6,1297.743309,20063.04499,18159.59678,359
Wed Dec 18 12:23:41 2019,133.3,1898.310063,17.48879398,14.46828703,54.8,1488.328863,18451.32364,18530.2131,359
Wed Dec 18 12:23:46 2019,132.7,1853.441219,16.32744434,15.56825468,51.3,1344.15503,27775.87845,17394.68981,360
Wed Dec 18 12:23:50 2019,132.8,1933.157344,16.82779717,15.12895389,52.7,1380.736091,18573.12741,17901.62188,360
Wed Dec 18 12:23:54 2019,132.4,2016.6705,19.14716511,12.66258658,60.4,1707.229618,25279.06496,20595.15874,360
